user_id,friend_id,weight
15,63,9
15,119,5
15,84,5
15,298,6
15,457,9
15,187,5
15,338,9
15,30,1
15,168,5
15,402,7
15,309,8
15,244,1
15,111,6
15,7,4
15,416,6
15,56,9
15,465,1
15,267,4
15,178,5
15,403,3
15,40,2
15,233,1
15,357,10
46,319,1
46,421,10
46,439,8
46,398,10
46,104,5
46,475,6
46,18,3
46,128,9
46,193,6
46,267,4
46,173,3
46,78,8
46,369,5
46,498,4
46,50,3
46,438,4
46,217,3
46,60,2
46,95,7
46,56,1
46,64,3
46,196,1
46,239,3
46,286,3
46,342,2
46,395,8
62,446,7
62,212,1
62,3,1
62,60,5
62,453,10
62,233,2
62,265,7
62,43,5
62,308,10
62,213,2
62,278,4
62,343,5
62,83,10
62,108,7
62,153,7
62,178,6
62,214,10
62,252,7
62,381,9
62,396,3
62,460,3
145,437,5
145,18,10
145,36,3
145,70,5
145,100,2
145,206,2
145,175,8
145,338,2
145,243,7
145,308,9
145,469,7
145,405,10
145,121,9
145,157,5
145,208,5
145,273,7
145,334,5
145,350,9
45,430,2
45,294,9
45,472,4
45,292,1
45,31,9
45,116,10
45,391,10
45,104,8
45,276,4
45,140,7
45,350,8
45,160,5
45,64,9
45,161,3
45,164,4
45,100,7
45,393,6
45,302,7
45,217,1
45,175,9
45,228,3
45,280,2
45,343,7
33,126,6
33,212,4
33,421,1
33,376,9
33,225,3
33,166,8
33,5,1
33,27,8
33,73,6
33,234,9
33,10,4
33,268,4
33,397,2
33,335,1
33,241,4
33,468,5
33,283,7
33,190,4
33,128,10
33,275,2
33,423,9
33,458,7
290,22,8
290,198,6
290,230,3
290,107,4
290,105,5
290,439,5
290,439,7
290,471,4
290,495,10
290,423,3
290,131,3
290,204,6
290,486,4
290,343,9
290,315,3
290,221,2
290,241,7
290,252,4
290,325,8
290,43,4
290,357,5
67,394,10
67,206,5
67,79,9
67,182,5
67,438,7
67,24,5
67,25,8
67,26,5
67,104,3
67,114,6
67,204,8
67,231,4
67,244,6
67,308,4
67,330,1
67,373,4
67,419,7
67,443,9
70,336,7
70,118,1
70,426,2
70,48,1
70,224,2
70,451,2
70,379,9
70,477,7
70,477,10
70,149,8
70,239,2
70,38,4
70,58,8
70,271,10
70,106,8
70,47,9
70,277,2
70,167,7
69,349,4
69,176,9
69,103,10
69,9,5
69,357,6
69,456,9
69,398,6
69,149,2
69,147,1
69,167,10
69,194,2
69,379,4
143,125,5
143,336,1
143,370,9
143,198,4
143,63,1
143,273,4
143,188,3
143,29,8
143,27,1
143,26,9
143,275,5
143,264,3
143,384,2
2,200,4
2,362,4
2,25,10
2,11,4
2,451,1
2,117,7
2,110,7
2,238,5
2,453,2
2,398,3
2,104,4
2,492,1
2,276,8
2,328,8
2,206,9
2,131,10
2,148,6
2,288,10
2,289,10
2,36,5
2,165,9
2,323,4
2,454,7
2,330,4
2,360,8
2,76,10
2,139,5
2,214,5
2,269,10
2,285,10
27,412,9
27,103,3
27,141,10
27,367,2
27,453,3
27,34,5
27,213,3
27,400,10
27,417,7
27,165,9
27,5,5
27,414,1
27,59,2
27,239,3
27,195,7
27,234,8
27,305,4
27,87,2
27,316,4
27,191,6
27,78,4
27,87,7
27,101,7
27,129,4
27,136,2
27,194,4
27,231,5
27,435,7
438,340,1
438,431,8
438,319,7
438,130,10
438,13,5
438,497,3
438,330,8
438,6,7
438,59,3
438,26,5
438,102,4
438,194,7
438,218,3
438,233,4
438,397,5
438,322,10
438,199,5
438,469,5
156,89,3
156,103,5
156,187,7
156,42,7
156,30,7
156,495,6
156,374,4
156,40,3
156,408,7
156,199,1
156,155,10
156,334,10
156,277,10
71,479,9
71,340,4
71,85,1
71,235,3
71,488,8
71,439,7
71,439,2
71,270,8
71,9,8
71,68,3
71,96,2
71,161,9
71,448,1
71,3,3
71,322,5
71,26,1
71,167,3
71,136,4
71,170,8
71,206,3
71,57,1
71,442,9
71,318,8
71,286,1
71,140,8
71,166,7
71,179,4
71,215,6
71,291,6
71,423,7
71,483,9
227,479,3
227,54,1
227,259,1
227,31,4
227,168,2
227,270,8
227,497,7
227,83,10
227,244,7
227,458,8
227,460,1
227,299,1
227,173,2
227,265,9
227,308,3
227,77,4
227,389,1
227,247,5
227,322,5
227,78,10
227,96,3
227,281,5
7,202,5
7,340,3
7,431,5
7,114,8
7,420,10
7,75,10
7,413,4
7,38,5
7,466,5
7,18,10
7,36,5
7,175,6
7,257,3
7,357,3
7,477,2
42,93,9
42,107,3
42,422,5
42,10,8
42,192,5
42,32,9
42,223,10
42,195,6
42,416,2
42,453,8
42,295,8
42,6,2
42,458,3
42,206,5
42,405,10
42,346,9
42,285,8
42,95,4
42,73,3
42,129,5
42,218,9
42,374,9
42,456,7
401,452,4
401,230,6
401,224,6
401,25,7
401,13,9
401,64,1
401,76,4
401,243,3
401,245,3
401,322,9
401,375,8
401,393,1
401,231,1
401,173,7
401,423,3
89,356,6
89,75,6
89,79,3
89,228,4
89,326,3
89,296,5
89,168,8
89,107,8
89,496,2
89,84,7
89,121,9
89,152,6
89,165,7
89,231,1
89,233,6
89,309,1
89,371,6
89,416,2
89,417,10
89,474,3
471,266,4
471,431,10
471,184,2
471,212,4
471,440,3
471,1,6
471,5,2
471,164,8
471,174,6
471,192,10
471,195,7
471,208,4
471,315,4
471,351,3
471,374,2
471,435,2
471,261,5
471,139,10
471,331,9
471,334,9
471,23,8
471,346,4
471,315,1
471,220,4
471,475,5
194,266,10
194,370,4
194,184,7
194,490,1
194,65,4
194,329,8
194,422,2
194,260,7
194,367,10
194,339,9
194,253,1
194,57,4
194,378,10
194,35,2
194,280,5
194,486,5
194,435,4
194,175,2
194,195,6
194,155,9
194,448,4
194,217,1
194,269,9
194,278,9
194,500,7
80,112,5
80,266,7
80,304,6
80,260,9
80,270,9
80,66,1
80,1,6
80,295,4
80,407,10
80,149,9
80,378,6
80,326,10
80,47,8
80,47,4
80,246,1
208,81,2
208,349,1
208,85,1
208,84,8
208,304,4
208,497,1
208,374,10
208,90,5
208,361,5
208,8,1
208,1,9
208,5,5
208,226,3
208,419,1
208,58,10
208,101,7
208,469,10
208,346,8
208,285,9
208,95,1
208,268,10
208,275,4
208,284,10
208,333,1
208,498,2
453,81,2
453,301,6
453,446,1
453,48,10
453,273,1
453,329,7
453,130,6
453,376,9
453,134,6
453,149,9
453,173,8
453,234,4
453,281,3
453,326,6
453,342,6
453,419,3
453,100,7
453,8,5
453,365,7
453,153,3
453,495,3
81,4,7
81,166,2
81,75,7
81,107,9
81,173,1
81,78,5
81,494,2
81,238,1
81,371,9
81,276,5
81,277,10
81,126,5
81,107,2
81,146,4
81,158,9
81,164,2
81,171,1
81,204,5
81,220,7
81,277,4
81,305,2
81,318,9
81,326,3
81,423,5
81,434,7
81,475,2
77,82,5
77,98,3
77,371,7
77,472,3
77,212,4
77,304,5
77,30,7
77,480,6
77,243,4
77,248,4
77,494,6
77,178,8
77,419,7
77,307,7
77,26,8
77,342,3
77,214,3
77,158,3
77,268,7
35,82,7
35,340,2
35,412,8
35,349,4
35,54,2
35,386,7
35,30,1
35,413,8
35,117,10
35,104,6
35,443,8
35,458,1
35,400,9
35,267,4
35,377,10
35,467,2
35,384,1
35,394,5
35,139,5
35,158,3
35,191,9
35,448,7
35,331,6
35,100,5
35,486,2
35,193,6
35,217,3
35,287,9
35,325,7
35,381,3
35,491,1
16,82,6
16,430,3
16,249,3
16,371,6
16,490,3
16,230,5
16,216,8
16,65,2
16,474,2
16,319,9
16,182,9
16,294,4
16,149,2
16,427,10
16,174,3
16,440,3
16,457,8
16,206,2
16,475,9
16,351,6
16,367,2
16,127,5
16,147,6
16,185,5
16,196,7
16,261,9
16,308,4
16,346,7
16,379,2
16,407,5
47,462,5
47,362,5
47,370,3
47,472,9
47,84,1
47,107,1
47,329,10
47,338,10
47,441,4
47,299,8
47,406,3
47,466,8
47,378,10
47,209,8
47,429,3
47,164,1
47,109,4
47,409,9
47,257,6
47,342,6
17,462,7
17,479,1
17,446,5
17,184,4
17,142,3
17,44,3
17,54,4
17,141,8
17,150,9
17,213,6
17,486,1
17,500,5
75,470,5
75,479,8
75,347,2
75,340,4
75,412,3
75,74,10
75,301,4
75,22,1
75,84,6
75,260,8
75,10,5
75,268,8
75,153,2
75,282,6
75,164,1
75,307,6
75,61,1
75,327,4
75,477,6
75,494,3
75,245,5
75,83,4
75,150,9
75,204,1
75,295,1
75,404,5
75,491,8
75,496,2
198,470,6
198,125,6
198,103,1
198,433,5
198,20,3
198,108,9
198,173,9
198,179,7
198,190,2
198,419,8
198,486,1
198,168,6
198,328,7
198,12,1
198,20,1
198,23,7
198,262,2
198,276,1
198,280,5
198,297,2
198,490,10
11,485,10
11,488,1
11,422,7
11,157,10
11,187,7
11,242,4
11,338,5
11,146,10
11,259,5
11,391,6
11,265,7
11,466,8
11,436,7
11,406,6
11,374,9
11,131,7
11,166,2
11,173,10
11,174,6
11,262,5
11,295,1
11,307,4
11,400,3
11,480,10
340,240,5
340,479,8
340,78,7
340,87,2
340,121,7
340,129,8
340,147,2
340,158,2
340,168,1
340,204,6
340,223,8
340,259,4
340,269,6
340,408,1
340,281,10
340,282,9
340,44,8
340,204,8
340,466,2
340,469,5
340,226,5
340,488,6
340,492,3
340,372,9
82,240,1
82,485,7
82,470,1
82,462,3
82,282,5
82,26,9
82,167,7
82,44,6
82,54,5
82,315,9
82,219,1
82,477,4
82,231,8
82,365,2
82,496,6
82,242,5
82,148,2
82,167,5
82,200,10
82,221,4
82,287,6
82,305,8
82,315,9
82,325,1
82,455,5
82,490,8
240,131,3
240,148,6
240,205,5
240,206,10
240,217,8
240,417,4
240,408,7
240,18,6
240,402,4
240,500,3
240,407,4
240,376,9
240,257,7
240,265,2
240,350,2
240,435,8
240,466,10
240,485,6
30,352,7
30,74,8
30,349,7
30,488,6
30,249,10
30,224,1
30,260,2
30,358,2
30,265,1
30,9,1
30,497,7
30,49,2
30,218,9
30,66,5
30,76,1
30,131,4
30,163,4
30,318,10
30,325,2
30,348,10
30,375,1
30,456,9
68,352,2
68,205,3
68,431,7
68,430,10
68,114,9
68,63,2
68,472,5
68,298,6
68,413,6
68,442,6
68,14,2
68,186,2
68,43,3
68,403,10
68,342,5
68,152,9
68,190,8
68,286,2
68,358,6
68,448,2
307,493,3
307,470,10
307,349,5
307,488,10
307,371,10
307,216,6
307,63,1
307,329,10
307,374,2
307,454,6
307,59,4
307,132,10
307,23,4
307,280,1
307,316,6
307,324,9
307,496,3
83,312,3
83,493,7
83,352,10
83,235,6
83,370,8
83,311,8
83,238,7
83,66,3
83,106,4
83,140,4
83,302,2
83,207,1
83,178,6
83,120,6
83,221,6
83,286,4
330,418,1
330,371,3
330,472,5
330,329,1
330,391,5
330,44,10
330,495,5
330,289,10
330,26,6
330,115,9
330,152,10
330,161,8
330,167,2
330,179,8
330,204,4
330,207,5
330,257,10
330,482,8
330,39,10
330,232,10
330,40,10
330,43,7
330,204,4
330,124,4
330,369,2
330,272,2
330,55,3
330,58,8
330,123,8
330,316,8
330,346,6
330,476,4
330,496,4
184,461,2
184,470,2
184,266,9
184,103,1
184,359,4
184,29,5
184,38,9
184,58,10
184,111,7
184,141,2
184,1,4
184,456,4
184,429,8
184,150,3
184,311,10
184,220,9
184,204,1
184,215,5
184,231,8
184,276,5
184,365,6
184,409,1
184,454,10
184,482,8
288,461,1
288,356,6
288,249,6
288,426,3
288,48,2
288,157,6
288,311,8
288,480,6
288,117,6
288,379,5
288,417,2
288,78,2
288,203,6
288,282,3
288,165,10
288,137,6
288,476,9
288,390,9
288,454,1
288,455,10
288,500,5
472,341,5
472,412,4
472,85,4
472,118,7
472,13,5
472,36,2
472,64,10
472,66,2
472,128,1
472,193,9
472,203,3
472,273,2
472,279,4
472,369,3
472,36,8
472,134,10
472,427,6
472,23,9
472,149,4
472,439,3
472,120,3
472,468,8
472,151,8
37,189,3
37,488,8
37,130,10
37,325,8
37,73,7
37,58,2
37,316,4
37,223,2
37,265,4
37,302,8
37,308,3
37,394,1
37,421,3
37,491,5
63,210,5
63,347,8
63,41,1
63,51,4
63,416,3
63,193,1
63,163,5
63,492,7
63,269,4
63,48,6
63,242,2
63,500,2
63,86,2
63,152,4
63,186,3
63,219,5
63,254,6
63,102,8
63,140,10
63,152,8
63,257,3
63,327,8
63,419,3
63,486,6
422,274,10
422,341,10
422,216,2
422,298,3
422,329,7
422,44,10
422,60,8
422,148,6
422,186,3
422,204,4
422,232,1
422,233,9
422,246,1
422,394,1
422,414,4
422,32,8
422,66,2
422,195,10
422,325,4
422,9,1
422,206,9
422,302,10
422,435,4
422,278,9
422,317,5
422,351,6
473,274,2
473,312,7
473,337,4
473,479,6
473,362,9
473,457,4
473,304,3
473,12,8
473,146,9
473,420,8
473,492,6
473,499,10
473,323,1
473,465,10
473,59,4
473,20,1
473,23,2
473,175,8
473,195,10
473,353,6
473,127,4
473,405,7
473,196,9
66,274,10
66,485,4
66,74,5
66,319,3
66,41,10
66,489,7
66,170,7
66,137,10
66,14,3
66,272,8
66,436,6
66,213,6
66,374,1
66,151,2
66,185,3
66,342,2
66,124,8
66,322,9
66,416,2
392,320,3
392,452,9
392,336,10
392,119,6
392,146,7
392,31,10
392,428,8
392,88,5
392,499,7
392,427,6
392,378,1
392,29,7
392,38,2
392,132,10
392,318,4
392,231,6
392,121,6
392,207,5
392,251,5
392,180,5
392,43,8
